Suburb,Price_k,Land_size,income_md,shopping_center,Time_train,sch_rank,Lat,Lng,Count
Caulfield,1046,337,693,2309,22,225,-37.88430441,145.0267441,39
Caulfield East,636,280,543,1138,20,225,-37.8822836,145.0465788,20
Caulfield North,875,310,840,1266,17,229,-37.87093185,145.0231266,87
Caulfield South,1015,334,755,3161,24,219,-37.89447722,145.0236486,108
Chadstone,778,407,516,1564,29,245,-37.88145156,145.100857,282
Chelsea,534,232,620,2854,55,281,-38.0502123,145.1210432,227
Chelsea Heights,495,438,598,2842,54,296,-38.04334369,145.1351596,91
Cheltenham,652,341,616,1034,40,329,-37.96499615,145.0644202,671
Clarinda,585,416,439,2846,31,325,-37.93886449,145.105283,103
Clayton,674,277,363,957,31,323,-37.9201229,145.1237063,410
Clayton South,563,342,434,1641,32,294,-37.9374304,145.1261195,265
Clifton Hill,911,202,1007,1505,20,198,-37.79069704,144.9976584,117
Coburg,672,392,585,3107,23,250,-37.74410387,144.9646793,410
Coburg North,625,423,472,2638,27,310,-37.72668272,144.9691284,139
Collingwood,688,201,972,574,17,457,-37.80060478,144.9880316,108
Cremorne,797,139,1174,1041,6,457,-37.82876306,144.9913363,21
Deer Park,380,434,508,1247,27,486,-37.76904397,144.765783,418
Delahey,373,464,456,1247,33,414,-37.7183016,144.7724904,177
Derrimut,467,463,747,1290,26,478,-37.79028,144.7620155,209
Dingley Village,620,485,618,2164,39,316,-37.98023052,145.1273864,288
Docklands,642,54,1021,612,4,244,-37.81833557,144.9447424,413
Doncaster East,874,539,537,1118,27,168,-37.7835907,145.1618343,734
Donvale,903,1379,660,2085,29,169,-37.79183312,145.1854731,299
Eaglemont,1103,486,849,1235,33,282,-37.76388956,145.0592629,55
East Melbourne,646,153,1188,960,14,457,-37.81436421,144.9836734,76
Edithvale,601,348,654,3830,53,431,-38.0385408,145.114561,142
Elsternwick,940,264,837,3139,20,243,-37.88629344,145.0075821,238
Elwood,687,79,1072,2467,19,252,-37.88098103,144.9868552,422
Essendon,793,335,737,1920,18,262,-37.74987584,144.912178,383
Essendon North,626,265,655,1129,19,205,-37.73865094,144.9019943,66
Essendon West,763,433,636,1360,16,189,-37.75244882,144.8867409,27
Fairfield,691,174,699,1967,26,217,-37.7752113,145.0192778,114
Fawkner,466,441,369,1022,29,426,-37.70724144,144.9693056,248
Fitzroy,836,100,1023,604,12,423,-37.79966252,144.9794287,127
Fitzroy North,898,242,871,1454,24,141,-37.7838734,144.9828218,223
Flemington,612,137,774,527,11,600,-37.78458796,144.9286646,153
Footscray,544,242,521,882,13,423,-37.7968191,144.8941838,433
Forest Hill,717,472,544,2206,28,334,-37.83870705,145.1714574,302
Gardenvale,783,189,814,4201,22,198,-37.89780111,145.008882,25
Gladstone Park,432,481,479,887,30,293,-37.68949791,144.8919542,220
Glen Huntly,553,131,623,1681,24,225,-37.89173493,145.0423667,99
Glen Iris,898,291,846,1576,21,480,-37.85365413,145.06008,229
Glen Waverley,997,586,521,1074,37,117,-37.88136146,145.1662612,894
Glenroy,467,364,437,1156,29,364,-37.70322636,144.9236936,559
Gowanbrae,587,470,745,1325,30,296,-37.70423684,144.8970023,47
Greensborough,567,518,657,2192,46,233,-37.70093905,145.105851,574
Hadfield,469,354,439,1900,29,392,-37.70865209,144.9447102,151
Hampton,1038,350,728,4234,31,297,-37.9378545,145.0113756,232
Hampton East,776,396,628,2907,35,315,-37.93894676,145.0306035,109
Hawthorn,660,191,823,1617,12,581,-37.82439704,145.0325941,183
Hawthorn East,853,244,860,723,15,508,-37.83027364,145.0508303,114
Heatherton,624,270,763,2494,39,315,-37.95671039,145.0822369,71
Heidelberg,771,399,721,803,35,223,-37.75108732,145.0688588,133
Heidelberg Heights,572,405,569,1693,36,361,-37.74165103,145.0541243,186
Heidelberg West,487,490,379,1190,35,361,-37.74079376,145.0421556,130
Highett,722,320,665,1553,37,386,-37.95053242,145.0393176,269
Hillside,457,564,656,4486,34,460,-37.69253856,144.7453061,465
Hughesdale,763,292,582,821,25,382,-37.89917104,145.0810294,141
Huntingdale,699,381,565,1659,28,394,-37.90559439,145.1080486,42
Ivanhoe,887,361,721,2520,30,261,-37.76562512,145.0407492,217
Ivanhoe East,1039,533,838,2097,32,246,-37.77295308,145.058017,62
Kealba,400,517,531,3882,29,241,-37.7339794,144.8238925,67
Keilor,647,766,681,2695,31,333,-37.71573215,144.8248619,77
Keilor Downs,428,534,474,1777,31,324,-37.71999075,144.8000766,191
Keilor East,607,406,530,2263,20,352,-37.74192149,144.865647,317
Keilor Lodge,493,616,598,590,33,211,-37.6984015,144.8005479,32
Keilor North,1066,5010,537,1156,34,185,-37.69298533,144.8045423,3
Keilor Park,527,470,457,2692,26,397,-37.72292746,144.8568482,56
Kensington,657,131,923,972,9,600,-37.79359228,144.925381,336
Kew,1017,479,847,1055,17,105,-37.80383988,145.0381417,165
Kew East,1133,433,741,2099,27,108,-37.79399195,145.0544742,53
Kings Park,339,471,363,1085,30,456,-37.73342089,144.7720245,139
Kingsbury,511,402,381,1278,40,387,-37.71560801,145.0366212,91
Kingsville,588,211,770,962,15,408,-37.80901966,144.878914,121
Kooyong,1510,-1,844,1342,15,600,-37.841201,145.031696,1
Laverton,373,467,405,1468,29,525,-37.85759322,144.772937,216
Lower Plenty,697,1017,719,3242,48,232,-37.72790508,145.1175575,96
Macleod,648,461,645,765,39,232,-37.72262225,145.0738667,269
Maidstone,571,368,477,773,16,244,-37.78427719,144.8748384,277
Malvern,840,99,931,758,17,428,-37.85932992,145.0339808,59
Malvern East,878,353,657,931,23,241,-37.87909116,145.0671298,194
Manningham,870,472,524,1491,28,252,-37.7772771,145.1157559,1194
Maribyrnong,659,359,775,839,43,291,-37.77705441,144.8906875,320
McKinnon,1035,397,703,3503,28,527,-37.91047081,145.0369483,82
Melbourne,480,72,710,529,6,213,-37.81947035,144.9642929,1076
Mentone,678,275,682,613,43,375,-37.98120868,145.0672676,441
Middle Park,1118,139,1084,1187,13,24,-37.85103564,144.9624498,74
Mitcham,701,445,654,717,31,172,-37.81855355,145.1982244,502
Mont Albert,886,245,761,1279,25,128,-37.8180016,145.1078081,65
Mont Albert North,1028,486,690,1830,24,131,-37.80388492,145.1104861,79
Montmorency,599,515,680,3409,48,224,-37.71829966,145.1242358,276
Moonee Ponds,801,288,786,1863,14,454,-37.76555228,144.9187288,283
Moorabbin,710,395,598,2039,35,295,-37.94020568,145.0500471,44
Mordialloc,658,309,699,929,48,328,-38.00103342,145.0926421,210
Mount Waverley,956,504,579,1644,32,116,-37.87662187,145.1288403,665
Mulgrave,662,506,579,1369,38,296,-37.92789239,145.1781442,402
Murrumbeena,755,270,707,1303,23,276,-37.89591879,145.0701314,222
Newport,735,317,788,2219,19,319,-37.84223274,144.876504,433
Niddrie,719,391,660,711,18,321,-37.73938527,144.8847525,149
North Melbourne,674,113,734,671,6,91,-37.79968955,144.9485162,262
North Warrandyte,744,3260,750,3617,54,287,-37.7267033,145.2168381,52
Northcote,835,214,763,982,26,134,-37.7730882,145.0008319,341
Notting Hill,540,417,432,1309,35,111,-37.90583152,145.1458535,64
Nunawading,695,431,612,1446,28,180,-37.81665008,145.1773657,313
Oak Park,597,402,615,1652,26,282,-37.71757302,144.9187973,130
Oakleigh,747,332,580,817,26,386,-37.90213591,145.0957341,207
Oakleigh East,754,367,520,1899,29,384,-37.90368769,145.1159379,177
Oakleigh South,681,405,504,2459,28,394,-37.92419451,145.0926408,240
Ormond,769,277,688,2546,27,377,-37.90339772,145.0428427,175
Park Orchards,1127,3238,737,3311,33,213,-37.78128854,145.2167305,69
Parkdale,734,377,678,938,45,344,-37.99167466,145.0812041,319
Parkville,800,276,600,1061,12,298,-37.78516539,144.950471,77
Pascoe Vale,583,282,621,2816,24,163,-37.72431542,144.9362047,361
Pascoe Vale South,720,441,596,3788,22,124,-37.74230575,144.9386725,170
Patterson Lakes,636,605,721,840,59,227,-38.06909889,145.1423619,225
Point Cook,528,463,888,1163,30,574,-37.89630589,144.7463343,558
Port Melbourne,861,168,1174,1276,4,24,-37.83972265,144.938966,448
Prahran,656,47,964,846,13,275,-37.85219666,144.998513,122
Preston,647,320,541,1368,34,296,-37.74057908,145.0037099,842
Princes Hill,1114,175,786,901,14,76,-37.78227494,144.9670178,27
Quandong,1220,5010,774,5000,38,487,-37.839606,144.542231,1
Reservoir,513,346,474,2123,40,420,-37.71347717,145.0102245,1132
Richmond,806,146,994,547,10,457,-37.81876838,145.0010702,258
Ringwood,606,495,589,1138,35,224,-37.81036665,145.2335334,486
Ringwood North,703,768,683,2013,34,213,-37.79601008,145.2292668,205
Ripponlea,699,120,820,2648,19,252,-37.87880683,144.9953464,20
Rosanna,757,496,636,1304,36,236,-37.73980441,145.0693169,204
Sandringham,987,428,804,3507,32,411,-37.95295476,145.0142032,219
Seabrook,420,452,592,549,29,588,-37.88087996,144.7577014,68
Seaholme,742,403,646,1196,28,600,-37.8639637,144.8437004,76
Seddon,723,213,777,1065,14,423,-37.80614222,144.8916125,135
South Kingsville,638,214,778,1799,18,319,-37.8309563,144.871271,80
South Melbourne,838,79,1048,1055,6,24,-37.8345479,144.9617648,180
South Wharf,985,3053,1333,1084,4,24,-37.8252735,144.9491257,2
South Yarra,688,98,1081,530,10,312,-37.83895821,144.9932788,355
Southbank,620,31,967,640,6,31,-37.82464176,144.9624764,332
Spotswood,697,261,713,1353,18,319,-37.82803849,144.8782212,81
Springvale South,464,466,387,2123,37,374,-37.9710959,145.1504927,152
St Albans,393,471,353,2511,28,342,-37.74282353,144.8047293,663
St Helena,671,656,635,3144,49,175,-37.6904022,145.130311,50
St Kilda,559,47,961,890,15,252,-37.86376324,144.9829477,427
St Kilda East,623,106,885,1803,16,252,-37.86412536,145.0013325,174
St Kilda West,702,68,1080,511,14,84,-37.85767556,144.971723,76
Strathmore,885,468,676,2452,22,154,-37.73356028,144.9166676,184
Strathmore Heights,730,492,672,969,27,466,-37.712214,144.8957885,15
Sunshine,480,382,421,2369,20,328,-37.78772484,144.8361947,262
Sunshine North,466,427,367,3713,24,389,-37.76742462,144.8340393,287
Sunshine West,421,448,386,1836,21,423,-37.79296744,144.8092836,360
Surrey Hills,1048,366,752,1665,21,102,-37.8270024,145.1002798,92
Sydenham,379,423,610,2953,34,396,-37.69972401,144.7657666,313
Taylors Hill,500,489,696,2865,33,492,-37.71490109,144.7523499,348
Taylors Lakes,532,682,581,1543,33,259,-37.69998965,144.7890885,277
Templestowe,1051,1179,642,1972,44,273,-37.76081743,145.1466338,366
Thornbury,700,305,636,1145,30,212,-37.75850282,145.0047611,318
Toorak,748,107,1018,1428,14,600,-37.84146105,145.013126,76
Travancore,563,92,741,789,11,600,-37.78209655,144.9365731,39
Tullamarine,417,315,552,1177,29,293,-37.70040178,144.8783196,189
Vermont,711,528,599,1524,31,132,-37.83799728,145.1995227,327
Vermont South,902,669,568,2496,34,222,-37.85474383,145.1857821,285
Viewbank,752,630,618,2077,38,137,-37.73662535,145.0903249,146
Warrandyte,938,2268,694,1616,36,287,-37.74796588,145.205394,113
Warrandyte South,1137,3144,795,4040,37,294,-37.76186288,145.241875,6
Warranwood,705,990,688,3562,41,504,-37.77263296,145.2494881,84
Waterways,786,498,866,3010,51,311,-38.01387174,145.1339642,63
Watsonia,547,469,600,616,42,230,-37.7104307,145.083619,177
Watsonia North,575,542,615,1269,42,235,-37.69711263,145.0859413,111
Werribee,340,494,530,3018,38,411,-37.89398499,144.6579757,930
Werribee South,714,1618,536,4602,38,279,-37.95369861,144.7022772,14
West Footscray,551,285,551,1067,16,362,-37.79858929,144.870859,274
West Melbourne,730,136,854,496,4,58,-37.80882154,144.9489788,109
Wheelers Hill,907,667,612,1017,37,305,-37.90799584,145.1839504,343
Williamstown,947,253,774,823,25,261,-37.859985,144.894461,320
Williamstown North,735,298,602,1799,24,319,-37.85500231,144.8780092,39
Windsor,774,73,891,957,14,236,-37.85459297,144.9932478,71
Wonga Park,851,1860,718,2605,44,331,-37.75284512,145.2773338,46
Yallambie,612,582,662,1819,44,229,-37.72508856,145.0988736,45
Yarraville,730,285,788,847,15,337,-37.81707681,144.884314,434
Grand Total,684,392,644,1722,28,297,-37.81963886,144.9928944,52896
